Province/State,Country/Region,Lat,Long,Date,Value,ISO 3166-1 Alpha 3-Codes,Region Code,Sub-region Code,Intermediate Region Code
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num,#country+code,#region+main+code,#region+sub+code,#region+intermediate+code
,Algeria,28.0339,1.6596,2020-01-28,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-01-27,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-01-26,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-01-25,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-01-24,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-01-23,0,DZA,2,15,
,Algeria,28.0339,1.6596,2020-01-22,0,DZA,2,15,
,Andorra,42.5063,1.5218,2020-05-03,748,AND,150,39,
,Andorra,42.5063,1.5218,2020-05-02,747,AND,150,39,
,Andorra,42.5063,1.5218,2020-05-01,745,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-30,745,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-29,743,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-28,743,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-27,743,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-26,738,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-25,738,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-24,731,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-23,723,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-22,723,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-21,717,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-20,717,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-19,713,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-18,704,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-17,696,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-16,673,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-15,673,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-14,659,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-13,646,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-12,638,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-11,601,AND,150,39,
,Andorra,42.5063,1.5218,2020-04-10,601,AND,150,39,
