Date,unem_rate,industrial_production_index,manufacturers_new_orders,purchase_house_price_index,construction_spending,retail_sales
6/1/14,6.3,106.8076,521849,215.86,89201,385334
7/1/14,6.5,104.8018,539245,216.62,90727,394393
8/1/14,6.3,107.4252,496055,216.49,92064,400906
9/1/14,5.7,106.6147,512854,215.53,92206,373874
10/1/14,5.5,105.4789,498450,215.86,93852,387655
11/1/14,5.5,105.915,457852,216.21,85362,390381
12/1/14,5.4,105.777,477301,216.52,79535,450598
1/1/15,6.1,105.3085,426374,215.08,70853,349409
2/1/15,5.8,105.3511,428835,217.35,70449,340467
3/1/15,5.6,105.7556,496792,219.93,78963,391146
4/1/15,5.1,103.7886,465915,222.74,87659,386098
5/1/15,5.3,104.2219,460683,226.21,94482,407384
6/1/15,5.5,106.8813,506055,228.12,101415,396354
7/1/15,5.6,105.4284,459347,229.27,102912,404727
8/1/15,5.2,108.0388,461892,228.5,104574,403316
9/1/15,4.9,105.9993,475312,228.79,104237,380320
10/1/15,4.8,105.073,470472,228.98,102523,391072
11/1/15,4.8,103.7379,443849,229.14,93561,394341
12/1/15,4.8,102.9785,458038,229.08,86871,463668
1/1/16,5.3,103.7854,410122,228.05,76758,350742
2/1/16,5.2,103.5629,429795,229.65,78810,361878
3/1/16,5.1,103.1263,482868,233.41,87628,404075
4/1/16,4.7,103.092,453232,NA,91567,NA
5/1/16,4.5,NA,NA,NA,NA,NA
