price,manufacturer,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
54991,toyota, Land Cruiser,2019,Semi-Auto,1000,Diesel,145,30.1,2.8
10191,toyota, Avensis,2016,Manual,31912,Diesel,20,67.3,1.6
14440,ford, Kuga,2017,Manual,19864,Diesel,125,60.1,2.0
17300,vw, T-Roc,2018,Manual,17400,Petrol,145,55.4,1.0
10691,ford, Focus,2017,Manual,35978,Diesel,145,74.3,1.5
9999,vauxhall, Zafira,2016,Manual,42929,Petrol,200,42.2,1.4
10995,vw, Polo,2017,Manual,18696,Petrol,150,60.1,1.0
9998,vauxhall, Astra,2017,Semi-Auto,45480,Diesel,125,61.4,1.6
18349,audi, TT,2017,Semi-Auto,56876,Petrol,145,42.8,2.0
25495,merc, C Class,2019,Automatic,4040,Petrol,145,44.1,1.6
23995,merc, C Class,2017,Automatic,33867,Diesel,150,58.9,2.1
28485,skoda, Kodiaq,2019,Automatic,11104,Diesel,145,39.2,2.0
14199,vw, Polo,2017,Automatic,26552,Petrol,145,50.4,1.8
11700,vauxhall, Astra,2018,Manual,10192,Petrol,150,51.4,1.4
8370,ford, Focus,2016,Manual,43924,Petrol,20,60.1,1.0
13490,skoda, Superb,2017,Manual,42033,Diesel,0,76.4,1.6
8990,vw, Up,2017,Manual,18172,Petrol,150,60.1,1.0
10020,audi, A1,2016,Manual,36843,Diesel,0,76.3,1.6
11000,ford, Fiesta,2017,Manual,12500,Petrol,150,65.7,1.0
23888,audi, Q2,2020,Manual,4000,Petrol,145,43.5,1.5
42888,audi, S4,2019,Automatic,1481,Diesel,145,39.2,3.0
26995,hyundi, Tucson,2020,Manual,3000,Hybrid,145,47.9,1.6
5699,ford, Fiesta,2015,Manual,50577,Petrol,125,54.3,1.2
10899,vauxhall, Crossland X,2019,Manual,12837,Petrol,145,47.1,1.2
29999,bmw, 5 Series,2019,Semi-Auto,6737,Petrol,150,48.7,2.0
11645,vw, Polo,2017,Manual,27203,Petrol,20,60.1,1.2
13795,vauxhall, Mokka X,2019,Manual,11019,Petrol,145,39.2,1.4
23490,audi, A5,2017,Semi-Auto,20891,Diesel,125,60.1,3.0
14490,vw, Golf,2019,Manual,16083,Diesel,150,57.7,1.6
9700,vauxhall, Mokka X,2016,Manual,13063,Petrol,200,42.2,1.6
11750,skoda, Fabia,2019,Manual,8000,Petrol,145,61.4,1.0
15750,ford, Kuga,2017,Semi-Auto,44134,Diesel,145,54.3,2.0
30500,audi, A3,2019,Semi-Auto,4723,Petrol,145,34.9,2.0
29491,audi, A5,2020,Semi-Auto,34,Diesel,145,50.4,2.0
15290,ford, Mondeo,2018,Manual,10147,Petrol,145,48.7,1.5
15290,merc, GLA Class,2016,Manual,42365,Diesel,20,64.2,2.1
12500,ford, Fiesta,2018,Manual,9131,Petrol,145,58.9,1.0
28990,merc, E Class,2019,Automatic,20,Diesel,145,72.4,2.0
10750,ford, Focus,2017,Manual,25519,Diesel,145,74.3,1.5
31000,audi, Q5,2019,Automatic,10250,Diesel,145,38.2,2.0
15999,bmw, 5 Series,2016,Automatic,31228,Diesel,30,62.8,2.0
16998,vauxhall, Corsa,2020,Manual,10,Petrol,145,52.3,1.2
17750,ford, Focus,2018,Automatic,11321,Diesel,145,67.3,1.5
5790,toyota, Aygo,2017,Manual,26333,Petrol,0,69.0,1.0
11399,ford, Focus,2017,Automatic,20928,Petrol,125,51.4,1.0
17047,merc, A Class,2017,Semi-Auto,14951,Diesel,145,68.9,2.1
17520,ford, Focus,2019,Manual,8459,Petrol,145,60.1,1.0
11691,ford, Focus,2018,Manual,13159,Petrol,145,61.4,1.0
6995,hyundi, I10,2017,Manual,8616,Petrol,145,60.1,1.0
16995,vw, Golf,2016,Manual,22774,Petrol,145,47.1,2.0
9490,vw, Polo,2017,Manual,22952,Petrol,20,60.1,1.0
24749,merc, E Class,2019,Semi-Auto,14360,Diesel,145,72.4,2.0
7691,vw, Golf,2013,Semi-Auto,77442,Diesel,30,62.8,2.0
10491,vauxhall, Astra,2018,Manual,20885,Petrol,145,51.4,1.4
9000,bmw, 3 Series,2013,Manual,73070,Diesel,30,61.4,2.0
57980,bmw, 7 Series,2020,Semi-Auto,3301,Diesel,145,41.5,3.0
23000,audi, A3,2015,Automatic,32497,Petrol,205,39.8,2.0
8798,hyundi, I30,2015,Manual,21701,Petrol,150,48.7,1.4
28980,bmw, 5 Series,2019,Semi-Auto,3445,Diesel,150,60.1,2.0
7495,vw, Up,2017,Manual,17467,Petrol,145,64.2,1.0
12147,skoda, Yeti Outdoor,2016,Semi-Auto,17672,Petrol,125,51.4,1.2
7495,toyota, Aygo,2017,Manual,11647,Petrol,0,68.9,1.0
20981,vw, Tiguan,2017,Semi-Auto,39793,Diesel,145,49.6,2.0
23299,merc, E Class,2017,Semi-Auto,24000,Diesel,145,65.7,2.0
19490,vw, Polo,2019,Semi-Auto,4999,Petrol,145,47.9,2.0
17490,bmw, 4 Series,2014,Automatic,20030,Petrol,165,44.1,2.0
30470,audi, A5,2019,Semi-Auto,701,Diesel,150,50.4,2.0
6000,ford, B-MAX,2014,Manual,33190,Diesel,20,68.9,1.5
9799,toyota, Aygo,2018,Semi-Auto,5691,Petrol,145,56.5,1.0
32495,merc, E Class,2019,Automatic,999,Diesel,145,70.6,2.0
25992,audi, A4,2019,Automatic,3300,Diesel,145,48.7,2.0
13900,bmw, 1 Series,2016,Manual,8411,Diesel,30,65.7,2.0
19150,audi, A3,2018,Manual,15937,Petrol,145,53.3,1.5
72995,merc, S Class,2018,Semi-Auto,9740,Petrol,145,34.0,4.0
25980,vw, Golf,2019,Semi-Auto,4280,Petrol,145,37.7,2.0
13422,toyota, Yaris,2018,Automatic,16000,Hybrid,135,76.3,1.5
6495,vw, Up,2014,Manual,21800,Petrol,20,60.1,1.0
7499,ford, Fiesta,2014,Manual,41874,Petrol,0,65.7,1.0
29849,merc, C Class,2017,Semi-Auto,23555,Petrol,145,36.2,3.0
34990,toyota, RAV4,2019,Automatic,5000,Hybrid,135,49.6,2.5
6698,hyundi, I20,2015,Manual,43795,Petrol,125,51.4,1.4
13485,vw, Polo,2019,Manual,3004,Petrol,145,48.7,1.0
14499,vauxhall, Insignia,2018,Manual,23587,Petrol,145,49.6,1.5
7990,vauxhall, Insignia,2016,Manual,88000,Diesel,20,72.4,1.6
7997,hyundi, I10,2016,Manual,10500,Petrol,30,57.6,1.2
9000,audi, A1,2016,Manual,37539,Diesel,0,76.3,1.6
21995,vw, Golf,2020,Manual,1500,Petrol,145,45.6,1.5
26500,audi, A5,2019,Automatic,3797,Diesel,145,50.4,2.0
7590,vauxhall, Astra,2016,Manual,58483,Petrol,125,51.4,1.4
9995,ford, Fiesta,2017,Manual,24826,Petrol,150,65.7,1.0
8895,toyota, Yaris,2016,Manual,14600,Petrol,0,66.0,1.0
27490,bmw, 3 Series,2019,Semi-Auto,13994,Petrol,145,42.2,2.0
40495,ford, Mustang,2019,Automatic,2000,Petrol,145,22.1,5.0
5995,vw, Scirocco,2011,Semi-Auto,120000,Diesel,125,57.6,2.0
