price,manufacturer,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
26800,bmw, 7 Series,2016,Automatic,30194,Diesel,150,54.3,3.0
18700,bmw, X5,2016,Automatic,87467,Diesel,160,50.4,2.0
23450,audi, A3,2019,Semi-Auto,8585,Petrol,145,41.5,1.5
30950,merc, GLC Class,2019,Semi-Auto,10697,Diesel,145,44.8,2.0
69995,merc, CLS Class,2019,Semi-Auto,992,Petrol,150,31.7,3.0
21730,bmw, 2 Series,2019,Automatic,5054,Petrol,145,39.2,1.5
12000,merc, CLS Class,2013,Automatic,65000,Diesel,150,54.3,2.1
10495,audi, A1,2016,Manual,45954,Diesel,0,80.7,1.6
25995,bmw, 5 Series,2018,Semi-Auto,8700,Diesel,145,49.6,2.0
12290,bmw, 5 Series,2016,Manual,65747,Diesel,125,58.9,2.0
32399,merc, C Class,2019,Semi-Auto,2008,Petrol,145,46.3,1.5
25899,merc, C Class,2019,Semi-Auto,10662,Petrol,145,47.1,1.5
17780,merc, E Class,2016,Automatic,31726,Petrol,160,46.3,2.0
51500,audi, Q7,2017,Semi-Auto,32568,Diesel,145,39.2,4.0
19990,audi, Q5,2015,Automatic,43000,Diesel,200,45.6,3.0
17241,audi, Q3,2017,Manual,46063,Diesel,145,53.3,2.0
14502,bmw, 1 Series,2017,Semi-Auto,33242,Diesel,20,70.6,2.0
16490,audi, A3,2016,Semi-Auto,23194,Petrol,30,54.3,1.4
24300,audi, A5,2018,Manual,25120,Petrol,145,47.1,2.0
36990,audi, SQ5,2017,Automatic,22216,Petrol,145,34.0,3.0
29890,merc, C Class,2019,Automatic,1646,Petrol,145,44.1,2.0
21000,merc, GLC Class,2016,Automatic,57454,Diesel,125,56.5,2.1
15000,bmw, 2 Series,2017,Automatic,49186,Petrol,145,50.4,1.5
35539,merc, C Class,2019,Semi-Auto,1000,Diesel,145,57.7,2.0
30199,merc, GLE Class,2017,Semi-Auto,23632,Diesel,145,47.9,2.1
17889,merc, GLA Class,2017,Semi-Auto,42941,Diesel,125,56.6,2.1
20745,audi, Q3,2018,Manual,12245,Petrol,150,49.6,1.4
16499,merc, GL Class,2016,Automatic,13144,Diesel,125,55.4,2.1
20149,merc, A Class,2019,Manual,9203,Petrol,145,28.5,1.3
17485,merc, GLA Class,2015,Semi-Auto,36462,Diesel,125,55.4,2.1
19545,merc, C Class,2017,Semi-Auto,32000,Diesel,30,61.4,2.1
27480,bmw, 3 Series,2019,Manual,4398,Diesel,145,54.3,2.0
11300,merc, GLA Class,2014,Manual,89286,Diesel,30,62.8,2.1
27000,merc, GLC Class,2017,Automatic,14819,Diesel,150,56.5,2.1
15499,merc, C Class,2017,Semi-Auto,22040,Diesel,20,65.7,2.1
47995,audi, A6,2020,Semi-Auto,3000,Petrol,150,34.0,2.0
14475,bmw, 3 Series,2016,Automatic,78878,Other,0,134.5,2.0
19998,merc, A Class,2017,Automatic,37572,Petrol,150,45.6,2.0
27410,bmw, 1 Series,2019,Automatic,123,Diesel,145,51.4,2.0
35500,audi, Q5,2019,Semi-Auto,5336,Petrol,145,33.2,2.0
